Rank	Medical College	Last Rank Allotted	State	Allotted Quota
263	Autonomous State Medical College, Pratapgarh	13294	Uttar Pradesh	All India
264	Regional Institute of Medical Sciences, Imphal	13316	Manipur	All India
265	Mahatma Vidur Autonomous State Medical College, Bijnor	13319	Uttar Pradesh	All India
266	ACSR Govt Medical College, Nellore	13322	Andhra Pradesh	All India
267	Government Medical College, Satna	13348	Madhya Pradesh	All India
268	Government Medical College, Ramanathapuram	13376	Tamil Nadu	All India
269	Government Medical College, Kallakurichi	13387	Tamil Nadu	All India
270	Government Medical College and Hospital, Jalgaon	13468	Maharashtra	All India
271	Autonomous State Medical College, Ghazipur	13492	Uttar Pradesh	All India
272	Karwar Institute of Medical Sciences	13569	Karnataka	All India
273	Government Medical College, Nandurbar	13638	Maharashtra	All India
274	Chikkaballapura Institute of Medical Sciences	13668	Karnataka	All India
275	Government Medical College, Nagapattinam	13671	Tamil Nadu	All India
276	Malda Medical College	13703	West Bengal	All India
277	Phulo Jhano Medical College, Dumka	13707	Jharkhand	All India
278	Sh Vasantrao Naik Government Medical College, Yavatmal	13794	Maharashtra	All India
279	Government Medical College, Rajouri	13835	Jammu and Kashmir	All India
280	Government Medical College and General Hospital, Satara	13955	Maharashtra	All India
281	Govt. Medical College and Hospital, Chandrapur	13966	Maharashtra	All India
282	Raichur Institute of Medical Sciences	13978	Karnataka	All India
283	Autonomous State Medical College, Sultanpur	14089	Uttar Pradesh	All India
284	Govt. Medical College, Udhampur	14096	Jammu and Kashmir	All India
285	ESIC Medical College, Faridabad	14111	Haryana	Employees State Insurance Scheme(ESI)
286	Murshidabad Medical College & Hospital	14131	West Bengal	All India
287	Autonomous State Medical College, Lalitpur	14132	Uttar Pradesh	All India
288	Pt. Raghunath Murmu Medical College, Baripada	14162	Odisha	All India
289	Sundarlal Patwa Government Medical College, Mandsaur	14215	Madhya Pradesh	All India
290	Government Medical College, Purnea	14249	Bihar	All India
291	Virendra Kumar Sakhlecha Government Medical College, Neemuch	14277	Madhya Pradesh	All India
292	Government Medical College and Hospital, Jajpur	14313	Odisha	All India
293	Silchar Medical College	14334	Assam	All India
294	Gadag Institute of Medical Sciences	14399	Karnataka	All India
295	Government Medical College, Rajnandgaon	14450	Chhattisgarh	All India
296	Government Medical College, Gondia	14452	Maharashtra	All India
297	SVIMS – Sri Padmavathi Medical College for Women, Tirupati	14517	Andhra Pradesh	All India
298	Government Medical College and District General Hospital, Ratnagiri	14603	Maharashtra	All India
299	Government Medical College & Hospital, Alibag-Raigad	14636	Maharashtra	All India
300	Medinirai Medical College, Palamu	14641	Jharkhand	All India
301	Chandulal Chandrakar Memorial Government Medical College, Durg	14674	Chhattisgarh	All India
302	Autonomous State Medical College, Pilibhit	14788	Uttar Pradesh	All India
303	GMERS Medical College, Porbandar	14823	Gujarat	All India
304	Chamarajanagar Institute of Medical Sciences	14915	Karnataka	All India
305	Government Medical College, Mahabubnagar	14923	Telangana	All India
306	GMERS Medical College, Panchmahal Godhra	14977	Gujarat	All India
307	Sarat Chandra Chattopadhyay Government Medical College & Hospital, Uluberia	15088	West Bengal	All India
308	Koppal Institute of Medical Sciences	15144	Karnataka	All India
309	Chikkamagaluru Institute of Medical Sciences	15318	Karnataka	All India
310	Government Medical College, Sindhudurg	15327	Maharashtra	All India
311	Government Medical College, Khaleelwadi, Nizamabad	15330	Telangana	All India
312	Government Medical College, Ananthapuram	15385	Andhra Pradesh	All India
313	GMERS Medical College, Navsari	15452	Gujarat	All India
314	Agartala Government Medical College	15460	Tripura	All India
315	Rampurhat Government Medical College	15519	West Bengal	All India
316	Rajmata Shrimati Devendra Kumari Singhdeo Government Medical College, Ambikapur	15544	Chhattisgarh	All India
317	Bhima Bhoi Medical College and Hospital, Balangir	15643	Odisha	All India
318	Government Medical College, Osmanabad	15653	Maharashtra	All India
319	Andaman and Nicobar Islands Institute of Medical Sciences	15675	Andaman and Nicobar Islands	All India
320	Government Medical College & Hospital, Jalpaiguri	15860	West Bengal	All India
321	Raiganj Government Medical College	15868	West Bengal	All India
322	Haveri Institute of Medical Sciences	15946	Karnataka	All India
323	Maharaja Jitendra Narayan Medical College and Hospital, Coochbehar	15973	West Bengal	All India
324	Government Medical College, Parbhani	15984	Maharashtra	All India
325	Government Medical College, Doda	16092	Jammu and Kashmir	All India
326	Government Medical College, Rajanna Sircilla	16102	Telangana	All India
327	GMERS Medical College, Rajpipla	16103	Gujarat	All India
328	Saheed Laxman Nayak Medical College and Hospital, Koraput	16229	Odisha	All India
329	Rajiv Gandhi Institute of Medical Sciences, Kadapa	16281	Andhra Pradesh	All India
330	Deben Mahata Government Medical College & Hospital	16398	West Bengal	All India
331	RIMS Srikakulam	16410	Andhra Pradesh	All India
332	Government Medical College, Siddipet	16415	Telangana	All India
333	Government Medical College, Sundargarh	16440	Odisha	All India
334	Chitradurga Medical College and Research Institute	16451	Karnataka	All India
335	RIMS Ongole	16556	Andhra Pradesh	All India
336	Jorhat Medical College and Hospital	16562	Assam	All India
337	Government Medical College, ESIC, Kollam	16630	Kerala	Employees State Insurance Scheme(ESI)
338	Prafulla Chandra Sen Government Medical College & Hospital, Arambagh	16642	West Bengal	All India
339	Yadgiri Institute of Medical Sciences	16689	Karnataka	All India
340	Government Medical College, Kanker	16691	Chhattisgarh	All India
341	Government Medical College, Mahasamund	16700	Chhattisgarh	All India
342	Tamralipto Government Medical College & Hospital	16824	West Bengal	All India
343	Jhargram Government Medical College and Hospital	16872	West Bengal	All India
344	Government Medical College, Handwara	16973	Jammu and Kashmir	All India
345	Government Medical College, Karimnagar	17003	Telangana	All India
346	Government Medical College, Nalgonda	17058	Telangana	All India
347	Government Medical College, Korba	17100	Chhattisgarh	All India
348	Government Medical College, Suryapet	17157	Telangana	All India
