Rank	Medical College	Last Rank Allotted	State	Allotted Quota
429	Datta Meghe Medical College, Wanadongri, Nagpur	506817	Maharashtra	Deemed/Paid Seats Quota
430	Datta Meghe Institute of Medical Sciences, Wardha	510316	Maharashtra	Deemed/Paid Seats Quota
431	BV Deemed University Medical College, Sangli	514800	Maharashtra	Deemed/Paid Seats Quota
432	Graphic Era Institute of Medical Sciences, Dehradun	551948	Uttarakhand	Deemed/Paid Seats Quota
433	Dr. D. Y. Patil Medical College, Navi Mumbai	559321	Maharashtra	Deemed/Paid Seats Quota
434	Saveetha Medical College, Chennai	568054	Tamil Nadu	Deemed/Paid Seats Quota
435	Dr. D. Y. Patil Medical College and Hospital, Pune	568091	Maharashtra	Deemed/Paid Seats Quota
436	J R Medical College and Hospital, Tindivanam	587824	Tamil Nadu	Deemed/Paid Seats Quota
437	Sri Lalithambigai Medical College and Hospital, Chennai	617590	Tamil Nadu	Deemed/Paid Seats Quota
438	SRM Medical College Hospital and Research Centre, Chennai	637582	Tamil Nadu	Deemed/Paid Seats Quota
439	Santosh Medical College and Hospital, Ghaziabad	671408	Uttar Pradesh, Delhi	Deemed/Paid Seats Quota
440	Chettinad Hospital and Research Institute, Kancheepuram	825168	Tamil Nadu	Deemed/Paid Seats Quota
441	GITAM Institute of Medical Sciences and Research, Visakhapatnam	874883	Andhra Pradesh	Deemed/Paid Seats Quota
442	Mahatma Gandhi Medical College, Pondicherry	889635	Puducherry	Deemed/Paid Seats Quota
443	Meenakshi Medical College Hospital and Research Institute, Kanchipuram	899112	Tamil Nadu	Deemed/Paid Seats Quota
444	Vinayaka Missions Medical College and Hospital, Karaikal	902941	Puducherry	Deemed/Paid Seats Quota
445	VMKV Medical College and Hospital, Salem	996106	Tamil Nadu	Deemed/Paid Seats Quota
446	ACS Medical College and Hospital, Chennai	1017390	Tamil Nadu	Deemed/Paid Seats Quota
447	Aarupadai Veedu Medical College and Hospital, Puducherry	1034896	Puducherry	Deemed/Paid Seats Quota
448	Bhaarath Medical College and Hospital, Chennai	1060578	Tamil Nadu	Deemed/Paid Seats Quota
449	Sree Balaji Medical College and Hospital, Chennai	1100567	Tamil Nadu	Deemed/Paid Seats Quota
450	Sri Lakshmi Narayana Institute of Medical Sciences, Puducherry	1160343	Puducherry	Deemed/Paid Seats Quota
451	Shri Sathya Sai Medical College and Research Institute, Chennai	1161774	Tamil Nadu	Deemed/Paid Seats Quota
452	VELS Medical College and Hospital, Uthukottai	1163943	Tamil Nadu	Deemed/Paid Seats Quota
